"","docname","from","to","pre","keyword","post","pattern","prekeypost","ID"
"12","text7",55,55,"不是 根本 世界秩序 变革 当下","百年未有之大变局","势力 世界秩序 调整 积极 努力","百年未有之大变局","不是 根本 世界秩序 变革 当下 百年未有之大变局 势力 世界秩序 调整 积极 努力",12
"13","text7",68,68,"世界秩序 调整 有利于 自己 因此","百年未有之大变局","世界 自然 走向 公平 繁荣","百年未有之大变局","世界秩序 调整 有利于 自己 因此 百年未有之大变局 世界 自然 走向 公平 繁荣",13
"14","text9",3,3,"世界格局 国际秩序","百年未有之大变局","两个 关键变量 力量对比 在变 游戏规则","百年未有之大变局","世界格局 国际秩序 百年未有之大变局 两个 关键变量 力量对比 在变 游戏规则",14
"15","text10",7,7,"近代 最好 发展 时期 世界","百年未有之大变局","两者 同步 交织 相互 激荡","百年未有之大变局","近代 最好 发展 时期 世界 百年未有之大变局 两者 同步 交织 相互 激荡",15
"16","text11",2,2,"世界","百年未有之大变局","中华民族 任何 时候 需要 理性","百年未有之大变局","世界 百年未有之大变局 中华民族 任何 时候 需要 理性",16
"17","text11",10,10,"时候 需要 理性 平和 心态","百年未有之大变局","抓住 战略机遇期 避免 陷入 思维习惯","百年未有之大变局","时候 需要 理性 平和 心态 百年未有之大变局 抓住 战略机遇期 避免 陷入 思维习惯",17
"18","text13",2,2,"支撑","百年未有之大变局","一支 重要力量 发展中国家 群体性 崛起","百年未有之大变局","支撑 百年未有之大变局 一支 重要力量 发展中国家 群体性 崛起",18
"19","text15",1,1,"","百年未有之大变局","世界 新旧 力量 博弈 变革","百年未有之大变局"," 百年未有之大变局 世界 新旧 力量 博弈 变革",19
"20","text16",7,7,"主席 外交 两个 新论断 世界","百年未有之大变局","7 南非 约翰内斯堡 参加 金砖国家","百年未有之大变局","主席 外交 两个 新论断 世界 百年未有之大变局 7 南非 约翰内斯堡 参加 金砖国家",20
"21","text16",25,25,"非常 没有 官方 解释 认为","百年未有之大变局","国际格局 在变 现代化 模式 在变","百年未有之大变局","非常 没有 官方 解释 认为 百年未有之大变局 国际格局 在变 现代化 模式 在变",21
"22","text16",46,46,"布局 问题 四个 大概 抓住","百年未有之大变局","核心 含义","百年未有之大变局","布局 问题 四个 大概 抓住 百年未有之大变局 核心 含义",22
"23","text17",31,31,"改革 发展 重大 现实 问题","世界百年未有之大变局","习近平 高度 战略 清醒 定力","百年未有之大变局","改革 发展 重大 现实 问题 世界百年未有之大变局 习近平 高度 战略 清醒 定力",23
"24","text18",2,2,"当今世界","百年未有之大变局","中美两国 国际关系 经济 安全 文化","百年未有之大变局","当今世界 百年未有之大变局 中美两国 国际关系 经济 安全 文化",24
"25","text18",17,17,"关系 互动 变化 当今世界 所处","百年未有之大变局","角度 来看 中美 经贸摩擦 可能","百年未有之大变局","关系 互动 变化 当今世界 所处 百年未有之大变局 角度 来看 中美 经贸摩擦 可能",25
"26","text19",22,22,"巨变 声音 就此而言 确实 世界","百年未有之大变局","中国 发展 经济 方面 世界","百年未有之大变局","巨变 声音 就此而言 确实 世界 百年未有之大变局 中国 发展 经济 方面 世界",26
"27","text21",2,2,"当今世界","百年未有之大变局","世界秩序 国际格局 调整 变化 以中","百年未有之大变局","当今世界 百年未有之大变局 世界秩序 国际格局 调整 变化 以中",27
"28","text22",9,9,"全球 态势 重要 判断 世界","百年未有之大变局","判断 笔者 分析 把握 现阶段","百年未有之大变局","全球 态势 重要 判断 世界 百年未有之大变局 判断 笔者 分析 把握 现阶段",28
"29","text23",8,8,"纽约 布鲁克林 召开 背景 世界","百年未有之大变局","资本主义 基本矛盾 呈现 变化 美国","百年未有之大变局","纽约 布鲁克林 召开 背景 世界 百年未有之大变局 资本主义 基本矛盾 呈现 变化 美国",29
"30","text23",66,66,"分析 了解 资本主义 国家 发展趋势","世界百年未有之大变局","科学 判断","百年未有之大变局","分析 了解 资本主义 国家 发展趋势 世界百年未有之大变局 科学 判断",30
"31","text24",1,1,"","百年未有之大变局","中华民族伟大复兴 貌似 两个大局 却是 一体","百年未有之大变局"," 百年未有之大变局 中华民族伟大复兴 貌似 两个大局 却是 一体",31
"32","text29",1,1,"","百年未有之大变局","背景 中国 美国 日本 东盟","百年未有之大变局"," 百年未有之大变局 背景 中国 美国 日本 东盟",32
"33","text30",2,2,"当今世界","百年未有之大变局","澜湄区域 世界政治 经济 热点 地区","百年未有之大变局","当今世界 百年未有之大变局 澜湄区域 世界政治 经济 热点 地区",33
"34","text31",2,2,"学术界","""百年未有之大变局""","研究 不乏 争论 显著 体现","百年未有之大变局","学术界 ""百年未有之大变局"" 研究 不乏 争论 显著 体现",34
"35","text31",14,14,"之辨 原因 之争 之论 使得","""百年未有之大变局""","宏大 论断 缺乏 精确 评估","百年未有之大变局","之辨 原因 之争 之论 使得 ""百年未有之大变局"" 宏大 论断 缺乏 精确 评估",35
"36","text31",27,27,"因素 回流 反复性 系统性 相对","""百年未有之大变局""","探讨 更为重要 需要 关注 战略","百年未有之大变局","因素 回流 反复性 系统性 相对 ""百年未有之大变局"" 探讨 更为重要 需要 关注 战略",36
"37","text31",38,38,"意涵 大变局 复杂 因素 加强","""百年未有之大变局""","认识 战略 意涵 在于 中国","百年未有之大变局","意涵 大变局 复杂 因素 加强 ""百年未有之大变局"" 认识 战略 意涵 在于 中国",37
"38","text32",43,43,"重建 局面 变局 机遇 世界","百年未有之大变局","态势 中国 发挥 社会主义制度 优势","百年未有之大变局","重建 局面 变局 机遇 世界 百年未有之大变局 态势 中国 发挥 社会主义制度 优势",38
"39","text33",6,6,"建交 55 周年 之际 中法关系","百年未有之大变局","历史 关口 本文 权力 结构","百年未有之大变局","建交 55 周年 之际 中法关系 百年未有之大变局 历史 关口 本文 权力 结构",39
"40","text33",19,19,"观念 结构 分析 框架 研究","百年未有之大变局","中法关系 结构性 中法关系 权力 结构","百年未有之大变局","观念 结构 分析 框架 研究 百年未有之大变局 中法关系 结构性 中法关系 权力 结构",40
"41","text35",5,5,"中国特色社会主义 进入 新时代 世界","百年未有之大变局","历史背景 准确 把握 现时代 本质","百年未有之大变局","中国特色社会主义 进入 新时代 世界 百年未有之大变局 历史背景 准确 把握 现时代 本质",41
"42","text36",42,42,"要素 内在 规律 可为 当今","百年未有之大变局","时间 空间 结合 宏观 解读","百年未有之大变局","要素 内在 规律 可为 当今 百年未有之大变局 时间 空间 结合 宏观 解读",42
"43","text37",1,1,"","""百年未有之大变局""","揭示 当今 全球秩序 结构性变迁 国际关系","百年未有之大变局"," ""百年未有之大变局"" 揭示 当今 全球秩序 结构性变迁 国际关系",43
"44","text40",1,1,"","百年未有之大变局","习近平 同志 核心 党中央 世界","百年未有之大变局"," 百年未有之大变局 习近平 同志 核心 党中央 世界",44
"45","text40",15,15,"认识 把握 世界局势 根本 遵循","百年未有之大变局","体现 世界经济 重心 之变 世界政治","百年未有之大变局","认识 把握 世界局势 根本 遵循 百年未有之大变局 体现 世界经济 重心 之变 世界政治",45
"46","text40",28,28,"科技 产业 之变 全球治理 之变","百年未有之大变局","不变 体现 只是 体系 某些","百年未有之大变局","科技 产业 之变 全球治理 之变 百年未有之大变局 不变 体现 只是 体系 某些",46
"47","text40",49,49,"范围 两种制度 斗争 长期存在 中国应对","""百年未有之大变局""","坚持 习近平外交思想 指导 杜绝 盲目","百年未有之大变局","范围 两种制度 斗争 长期存在 中国应对 ""百年未有之大变局"" 坚持 习近平外交思想 指导 杜绝 盲目",47
"48","text41",1,1,"","百年未有之大变局","未来 国际 税收 发展 对应","百年未有之大变局"," 百年未有之大变局 未来 国际 税收 发展 对应",48
"49","text41",40,40,"本文 据此 观点 一是 明确","百年未有之大变局","研究 国际 税收 重要 国际背景","百年未有之大变局","本文 据此 观点 一是 明确 百年未有之大变局 研究 国际 税收 重要 国际背景",49
"50","text41",48,48,"税收 重要 国际背景 二是 把握","百年未有之大变局","国际 税收 领域 发展 变化","百年未有之大变局","税收 重要 国际背景 二是 把握 百年未有之大变局 国际 税收 领域 发展 变化",50
"51","text41",57,57,"发展 变化 全面 三是 依据","百年未有之大变局","重新 衡量 适时 调整 我国","百年未有之大变局","发展 变化 全面 三是 依据 百年未有之大变局 重新 衡量 适时 调整 我国",51
"52","text42",46,46,"探讨 新时代 中国特色大国外交 独特 中国特色大国外交","百年未有之大变局","独特 外部环境 展开 指导思想 新时代","百年未有之大变局","探讨 新时代 中国特色大国外交 独特 中国特色大国外交 百年未有之大变局 独特 外部环境 展开 指导思想 新时代",52
"53","text44",1,1,"","百年未有之大变局","世界政治 格局 经济发展 文化 壁垒","百年未有之大变局"," 百年未有之大变局 世界政治 格局 经济发展 文化 壁垒",53
"54","text45",65,65,"全球治理 赤字 不可或缺 重要力量 当今世界","百年未有之大变局","亟须 通过 加强 全球治理 予以","百年未有之大变局","全球治理 赤字 不可或缺 重要力量 当今世界 百年未有之大变局 亟须 通过 加强 全球治理 予以",54
"55","text46",18,18,"传统 全球治理体系 严峻挑战 改革 势在必行","百年未有之大变局","背景 中国 最大 发展中国家 严峻","百年未有之大变局","传统 全球治理体系 严峻挑战 改革 势在必行 百年未有之大变局 背景 中国 最大 发展中国家 严峻",55
"56","text47",20,20,"国家 运营 管理 生命线 历史长河","百年未有之大变局","时代 突然 袭来 重大 疫情","百年未有之大变局","国家 运营 管理 生命线 历史长河 百年未有之大变局 时代 突然 袭来 重大 疫情",56
"57","text47",43,43,"会计 专业 使命 透析 宏观","百年未有之大变局","中观 经济转型 新时代 管控 黑天鹅","百年未有之大变局","会计 专业 使命 透析 宏观 百年未有之大变局 中观 经济转型 新时代 管控 黑天鹅",57
"58","text48",7,7,"行政妄为 两种 行政 状态 阻滞","百年未有之大变局","我国 领域 快速 发展 通过","百年未有之大变局","行政妄为 两种 行政 状态 阻滞 百年未有之大变局 我国 领域 快速 发展 通过",58
"59","text48",39,39,"行政 广泛 实现 适度 状态","百年未有之大变局","有效 助推 我国 领域 发展","百年未有之大变局","行政 广泛 实现 适度 状态 百年未有之大变局 有效 助推 我国 领域 发展",59
"60","text49",1,1,"","百年未有之大变局","丰富 时代内涵 表现 国际 力量对比","百年未有之大变局"," 百年未有之大变局 丰富 时代内涵 表现 国际 力量对比",60
"61","text49",22,22,"博弈 加剧 四个 方面 世界","百年未有之大变局","非洲 世界政治 经济 格局 地位","百年未有之大变局","博弈 加剧 四个 方面 世界 百年未有之大变局 非洲 世界政治 经济 格局 地位",61
"62","text52",1,1,"","百年未有之大变局","蕴含 机遇 挑战 两岸关系 台海","百年未有之大变局"," 百年未有之大变局 蕴含 机遇 挑战 两岸关系 台海",62
"63","text54",15,15,"极高 理论价值 实践 价值 当代","百年未有之大变局","背景 优化 全球治理 不可多得 理论","百年未有之大变局","极高 理论价值 实践 价值 当代 百年未有之大变局 背景 优化 全球治理 不可多得 理论",63
"64","text55",29,29,"最终 推导 对策 路径 当今世界","百年未有之大变局","国际 力量 加快 分化 组合","百年未有之大变局","最终 推导 对策 路径 当今世界 百年未有之大变局 国际 力量 加快 分化 组合",64
"65","text55",91,91,"人民 一道 维护 世界和平 共同发展","百年未有之大变局","中美大国关系 时刻 牵动 全世界 和平","百年未有之大变局","人民 一道 维护 世界和平 共同发展 百年未有之大变局 中美大国关系 时刻 牵动 全世界 和平",65
"66","text56",3,3,"摘要 当今世界","百年未有之大变局","坚持 和平发展道路 中国 日益 走近","百年未有之大变局","摘要 当今世界 百年未有之大变局 坚持 和平发展道路 中国 日益 走近",66
"67","text57",4,4,"新冠疫情 世界 变局","世界百年未有之大变局","相互 缠绕 国际政治 世界经济 大国关系","百年未有之大变局","新冠疫情 世界 变局 世界百年未有之大变局 相互 缠绕 国际政治 世界经济 大国关系",67
"68","text58",3,3,"习近平 当今世界","百年未有之大变局","重要论断 观察 分析 当今世界 经济","百年未有之大变局","习近平 当今世界 百年未有之大变局 重要论断 观察 分析 当今世界 经济",68
"69","text59",2,2,"中国","世界百年未有之大变局","新冠肺炎疫情 叠加冲击 转变 经济发展 方式","百年未有之大变局","中国 世界百年未有之大变局 新冠肺炎疫情 叠加冲击 转变 经济发展 方式",69
"70","text60",19,19,"马克思 世界历史 理论 深刻理解 习近平","百年未有之大变局","产生 机理 新一轮科技革命 产业革命 重塑","百年未有之大变局","马克思 世界历史 理论 深刻理解 习近平 百年未有之大变局 产生 机理 新一轮科技革命 产业革命 重塑",70
"71","text61",2,2,"当今世界","百年未有之大变局","世界秩序 重塑 大国 力量对比 日趋","百年未有之大变局","当今世界 百年未有之大变局 世界秩序 重塑 大国 力量对比 日趋",71
"72","text62",2,2,"当今世界","百年未有之大变局","习近平 主席 重大论断 揭示 世界","百年未有之大变局","当今世界 百年未有之大变局 习近平 主席 重大论断 揭示 世界",72
"73","text62",9,9,"主席 重大论断 揭示 世界 时代特征","百年未有之大变局","伴生 百年未有 不确定性 百年未有 机遇","百年未有之大变局","主席 重大论断 揭示 世界 时代特征 百年未有之大变局 伴生 百年未有 不确定性 百年未有 机遇",73
"74","text62",71,71,"博物馆 周边 产业 四个 方面","百年未有之大变局","博物馆 文化担当 具体 举措 建议","百年未有之大变局","博物馆 周边 产业 四个 方面 百年未有之大变局 博物馆 文化担当 具体 举措 建议",74
"75","text63",2,2,"数字时代","百年未有之大变局","一般性 特殊性 数字治理 大变局 中国","百年未有之大变局","数字时代 百年未有之大变局 一般性 特殊性 数字治理 大变局 中国",75
"76","text63",42,42,"推进 新一轮科技革命 中国 借助 数字治理","百年未有之大变局","持续发展 一些 问题 这些 问题","百年未有之大变局","推进 新一轮科技革命 中国 借助 数字治理 百年未有之大变局 持续发展 一些 问题 这些 问题",76
"77","text63",70,70,"展开 数字治理 中国 借助 数字治理","百年未有之大变局","持续发展 具体 途径 强化 党委","百年未有之大变局","展开 数字治理 中国 借助 数字治理 百年未有之大变局 持续发展 具体 途径 强化 党委",77
"78","text64",15,15,"全方位 重要 新冠疫情 国际关系 国际秩序","百年未有之大变局","国际格局 产生 不仅 使得 百年未有之大变局","百年未有之大变局","全方位 重要 新冠疫情 国际关系 国际秩序 百年未有之大变局 国际格局 产生 不仅 使得 百年未有之大变局",78
"79","text64",20,20,"百年未有之大变局 国际格局 产生 不仅 使得","百年未有之大变局","特征 各个领域 凸显 出来 更是","百年未有之大变局","百年未有之大变局 国际格局 产生 不仅 使得 百年未有之大变局 特征 各个领域 凸显 出来 更是",79
"80","text64",35,35,"经济社会 危机 大大 加剧 催化","百年未有之大变局","本文 权力 结构 秩序 结构","百年未有之大变局","经济社会 危机 大大 加剧 催化 百年未有之大变局 本文 权力 结构 秩序 结构",80
"81","text65",5,5,"乡村文化复兴 深刻理解 中华文明 特质","百年未有之大变局","双重 视域 格外 凸显 不仅","百年未有之大变局","乡村文化复兴 深刻理解 中华文明 特质 百年未有之大变局 双重 视域 格外 凸显 不仅",81
"82","text66",9,9,"国际 国内 时代 环境 概括","百年未有之大变局","中国特色社会主义 进入 新时代 习近平新时代中国特色社会主义思想 形成","百年未有之大变局","国际 国内 时代 环境 概括 百年未有之大变局 中国特色社会主义 进入 新时代 习近平新时代中国特色社会主义思想 形成",82
"83","text66",22,22,"习近平新时代中国特色社会主义思想 形成 角度 把握 新时代","百年未有之大变局","概括 二者 相互交织 高度 重叠","百年未有之大变局","习近平新时代中国特色社会主义思想 形成 角度 把握 新时代 百年未有之大变局 概括 二者 相互交织 高度 重叠",83
"84","text67",1,1,"","百年未有之大变局","内涵 解读 不应 停留 表面现象","百年未有之大变局"," 百年未有之大变局 内涵 解读 不应 停留 表面现象",84
"85","text67",14,14,"历史唯物主义 原理 角度 把握 习近平","百年未有之大变局","论断 全面 揭示 当今 时代","百年未有之大变局","历史唯物主义 原理 角度 把握 习近平 百年未有之大变局 论断 全面 揭示 当今 时代",85
"86","text67",31,31,"问题 当今世界 格局 发展 走向","百年未有之大变局","深层 内涵 概括 五百年 资本主义","百年未有之大变局","问题 当今世界 格局 发展 走向 百年未有之大变局 深层 内涵 概括 五百年 资本主义",86
"87","text68",10,10,"具体 实践 相结合 道路 当今世界","百年未有之大变局","中国 带来 矛盾 增多 搅乱","百年未有之大变局","具体 实践 相结合 道路 当今世界 百年未有之大变局 中国 带来 矛盾 增多 搅乱",87
"88","text69",3,3,"深入分析 世界","百年未有之大变局","变局 构成 变化特点 趋势 走向","百年未有之大变局","深入分析 世界 百年未有之大变局 变局 构成 变化特点 趋势 走向",88
"89","text69",59,59,"归纳 总结 关键 认识 观点","世界百年未有之大变局","方面 变局 构成 特点 分析","百年未有之大变局","归纳 总结 关键 认识 观点 世界百年未有之大变局 方面 变局 构成 特点 分析",89
"90","text71",21,21,"持续 复兴 当今世界 大发展大变革大调整 时期","百年未有之大变局","透过 历史 烟云 依然 处在","百年未有之大变局","持续 复兴 当今世界 大发展大变革大调整 时期 百年未有之大变局 透过 历史 烟云 依然 处在",90
"91","text72",41,41,"最为 神圣 悲壮 精神 品格","百年未有之大变局","全面 应对 社会主义 市场经济 结合","百年未有之大变局","最为 神圣 悲壮 精神 品格 百年未有之大变局 全面 应对 社会主义 市场经济 结合",91
"92","text74",2,2,"当今世界","百年未有之大变局","国际 力量对比 变化 国内 国家","百年未有之大变局","当今世界 百年未有之大变局 国际 力量对比 变化 国内 国家",92
"93","text75",12,12,"核心 党中央 重大 判断 当今世界","百年未有之大变局","认识 变局 丰富 内涵 全面","百年未有之大变局","核心 党中央 重大 判断 当今世界 百年未有之大变局 认识 变局 丰富 内涵 全面",93
"94","text76",1,1,"","百年未有之大变局","背景 我国 能源 形势 日趋","百年未有之大变局"," 百年未有之大变局 背景 我国 能源 形势 日趋",94
"95","text77",2,2,"处在","世界百年未有之大变局","中华民族伟大复兴 全局 历史 交汇 习近平","百年未有之大变局","处在 世界百年未有之大变局 中华民族伟大复兴 全局 历史 交汇 习近平",95
"96","text77",19,19,"国情 世界 世情 基本 依据","世界百年未有之大变局","中国 战略 基本 依据 百年未有之大变局","百年未有之大变局","国情 世界 世情 基本 依据 世界百年未有之大变局 中国 战略 基本 依据 百年未有之大变局",96
"97","text77",24,24,"世界百年未有之大变局 中国 战略 基本 依据","百年未有之大变局","核心 世界经济格局 重大 改变 文本","百年未有之大变局","世界百年未有之大变局 中国 战略 基本 依据 百年未有之大变局 核心 世界经济格局 重大 改变 文本",97
"98","text77",65,65,"格局 变迁 中国 本身 就是","世界百年未有之大变局","最大 变量 自变量 因变量 两者之间","百年未有之大变局","格局 变迁 中国 本身 就是 世界百年未有之大变局 最大 变量 自变量 因变量 两者之间",98
"99","text77",74,74,"因变量 两者之间 互动 形成 中国与世界","百年未有之大变局","中国 实现 第二个百年奋斗目标 最大 天时地利","百年未有之大变局","因变量 两者之间 互动 形成 中国与世界 百年未有之大变局 中国 实现 第二个百年奋斗目标 最大 天时地利",99
"100","text78",6,6,"《习近平谈治国理政》第三卷 内容丰富 思想 深邃 揭示","百年未有之大变局","成因 表现 高瞻远瞩 发现 识别","百年未有之大变局","《习近平谈治国理政》第三卷 内容丰富 思想 深邃 揭示 百年未有之大变局 成因 表现 高瞻远瞩 发现 识别",100
"101","text78",35,35,"中国共产党 执政 智慧结晶 更是 应对","百年未有之大变局","重要 行动指南","百年未有之大变局","中国共产党 执政 智慧结晶 更是 应对 百年未有之大变局 重要 行动指南",101
"102","text79",99,99,"基本矛盾 运动 新冠疫情 之后 继续","世界百年未有之大变局","","百年未有之大变局","基本矛盾 运动 新冠疫情 之后 继续 世界百年未有之大变局 ",102
"103","text82",13,13,"习近平 同志 核心 党中央 世界格局","百年未有之大变局","准确 判断 探析 百年未有之大变局 原因","百年未有之大变局","习近平 同志 核心 党中央 世界格局 百年未有之大变局 准确 判断 探析 百年未有之大变局 原因",103
"104","text82",17,17,"世界格局 百年未有之大变局 准确 判断 探析","百年未有之大变局","原因 解析 深刻含义 洞悉 不变","百年未有之大变局","世界格局 百年未有之大变局 准确 判断 探析 百年未有之大变局 原因 解析 深刻含义 洞悉 不变",104
"105","text83",2,2,"当今世界","百年未有之大变局","新一轮科技革命 产业 变革 大变局 重要","百年未有之大变局","当今世界 百年未有之大变局 新一轮科技革命 产业 变革 大变局 重要",105
"106","text84",2,2,"世界","百年未有之大变局","中华民族 伟大复兴 关键时期 统筹 中华民族伟大复兴","百年未有之大变局","世界 百年未有之大变局 中华民族 伟大复兴 关键时期 统筹 中华民族伟大复兴",106
"107","text84",9,9,"伟大复兴 关键时期 统筹 中华民族伟大复兴 全局","世界百年未有之大变局","需要 中国发展 战略机遇期 科学 准确","百年未有之大变局","伟大复兴 关键时期 统筹 中华民族伟大复兴 全局 世界百年未有之大变局 需要 中国发展 战略机遇期 科学 准确",107
"108","text85",14,14,"践行 人类命运共同体 理念 内在 要求","百年未有之大变局","增加 参与 全球治理 高质量 应对","百年未有之大变局","践行 人类命运共同体 理念 内在 要求 百年未有之大变局 增加 参与 全球治理 高质量 应对",108
"109","text85",40,40,"能力 建设 滞后 危机 风险","百年未有之大变局","中国参与 全球治理 应以 构建 人类命运共同体","百年未有之大变局","能力 建设 滞后 危机 风险 百年未有之大变局 中国参与 全球治理 应以 构建 人类命运共同体",109
"110","text86",2,2,"当今世界","百年未有之大变局","国际 力量对比 调整 霸权 衰落","百年未有之大变局","当今世界 百年未有之大变局 国际 力量对比 调整 霸权 衰落",110
"111","text88",1,1,"","百年未有之大变局","习近平 立足 世界发展 大势 科学","百年未有之大变局"," 百年未有之大变局 习近平 立足 世界发展 大势 科学",111
"112","text88",21,21,"全球治理 理念 之变 清醒 认知","百年未有之大变局","之变 这些 变化 表面 之下","百年未有之大变局","全球治理 理念 之变 清醒 认知 百年未有之大变局 之变 这些 变化 表面 之下",112
"113","text88",50,50,"人类 和平 发展 使命 不变","百年未有之大变局","不变 必须 寻求 应对 百年未有之大变局","百年未有之大变局","人类 和平 发展 使命 不变 百年未有之大变局 不变 必须 寻求 应对 百年未有之大变局",113
"114","text88",55,55,"百年未有之大变局 不变 必须 寻求 应对","百年未有之大变局","中国方略 坚定 四个自信 贡献 世界","百年未有之大变局","百年未有之大变局 不变 必须 寻求 应对 百年未有之大变局 中国方略 坚定 四个自信 贡献 世界",114
"115","text89",7,7,"习近平 多个 重要 场合 世界","百年未有之大变局","世界发展 形势 全面 全新 论断","百年未有之大变局","习近平 多个 重要 场合 世界 百年未有之大变局 世界发展 形势 全面 全新 论断",115
"116","text90",1,1,"","世界百年未有之大变局","持续 发展 突如其来 新冠肺炎疫情 肆虐","百年未有之大变局"," 世界百年未有之大变局 持续 发展 突如其来 新冠肺炎疫情 肆虐",116
"117","text91",1,1,"","百年未有之大变局","根本变化 西方国家 民心之变 思想之变 此变","百年未有之大变局"," 百年未有之大变局 根本变化 西方国家 民心之变 思想之变 此变",117
"118","text92",11,11,"政治 产生 重大 加速 当今世界","百年未有之大变局","自从 人类社会 进入 资本主义 现代世界体系","百年未有之大变局","政治 产生 重大 加速 当今世界 百年未有之大变局 自从 人类社会 进入 资本主义 现代世界体系",118
"119","text92",40,40,"市场 矛盾 两对 基本矛盾 现代世界体系","百年未有之大变局","新冠肺炎疫情 现代世界体系 世界 市场经济 体系","百年未有之大变局","市场 矛盾 两对 基本矛盾 现代世界体系 百年未有之大变局 新冠肺炎疫情 现代世界体系 世界 市场经济 体系",119
"120","text92",60,60,"转换 国际格局 力量对比 变化 当今世界","百年未有之大变局","时候 中国 为首 新兴大国 全球治理体系","百年未有之大变局","转换 国际格局 力量对比 变化 当今世界 百年未有之大变局 时候 中国 为首 新兴大国 全球治理体系",120
"121","text93",18,18,"世界向何处去 问题 习近平 主席 当今世界","百年未有之大变局","人类又一次站在了十字路口 合作 对抗 开放 封闭","百年未有之大变局","世界向何处去 问题 习近平 主席 当今世界 百年未有之大变局 人类又一次站在了十字路口 合作 对抗 开放 封闭",121
"122","text94",2,2,"当今世界","百年未有之大变局","之变 表现 国际力量对比变化 科技革命 竞争","百年未有之大变局","当今世界 百年未有之大变局 之变 表现 国际力量对比变化 科技革命 竞争",122
"123","text94",18,18,"前所未有 马克思 世界历史 思想 来看","百年未有之大变局","不是 资本主义 结构 变化 而是","百年未有之大变局","前所未有 马克思 世界历史 思想 来看 百年未有之大变局 不是 资本主义 结构 变化 而是",123
"124","text95",3,3,"全球抗疫防疫 堪称","百年未有之大变局","历史 疫情政治经济学 创举 迈入 后疫情时代","百年未有之大变局","全球抗疫防疫 堪称 百年未有之大变局 历史 疫情政治经济学 创举 迈入 后疫情时代",124
"125","text96",2,2,"世界","百年未有之大变局","保护主义 单边主义 政策 日趋 西方国家","百年未有之大变局","世界 百年未有之大变局 保护主义 单边主义 政策 日趋 西方国家",125
"126","text98",3,3,"2017 习近平","百年未有之大变局","重要论述 我国 学术界 政府 研究","百年未有之大变局","2017 习近平 百年未有之大变局 重要论述 我国 学术界 政府 研究",126
"127","text98",26,26,"高站位角度 思考 问题 理论价值 习近平","百年未有之大变局","论述 中华人民共和国 成立 我国 国际事务","百年未有之大变局","高站位角度 思考 问题 理论价值 习近平 百年未有之大变局 论述 中华人民共和国 成立 我国 国际事务",127
"128","text100",3,3,"新冠肺炎疫情 全球大流行","世界百年未有之大变局","出现 不少 新特征 加剧 中美","百年未有之大变局","新冠肺炎疫情 全球大流行 世界百年未有之大变局 出现 不少 新特征 加剧 中美",128
